,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
the Northern Territory's,the Northern Territory's,LOC,0.08645833,0.80138889,en,4.00000000,,5868589,T,63.06933,-151.00609,NORTH-AMERICA,United States,NWN
ST.,ST.,GPE,0.01250000,0.17500000,en,4.00000000,,0,,,,,,
New Jersey,New Jersey,GPE,0.30142677,0.92179293,en,4.00000000,,0,,,,,,
PARIS,PARIS,GPE,-0.10576923,0.23183761,en,3.90000000,,0,,,,,,
Europe,Europe,LOC,0.07158120,0.52742165,en,3.90000000,,0,,,,,,
Magic Kingdom,Magic Kingdom,GPE,0.46052632,1.12828947,en,3.80000000,,6620640,L,28.41875,-81.58123,NORTH-AMERICA,United States,ENA
the Sunshine State,the Sunshine State,LOC,0.29166667,0.58333333,en,3.80000000,,0,,,,,,
Typhoon Krathon,Typhoon Krathon,LOC,-0.12280702,0.22807018,en,3.80000000,,0,,,,,,
BANGKOK,BANGKOK,GPE,-0.20175439,1.52631579,en,3.80000000,,0,,,,,,
Bengal,Bengal,GPE,0.00000000,0.35135135,en,3.70000000,,0,,,,,,
Terengganu,Terengganu,GPE,0.01435811,0.51970721,en,3.70000000,,0,,,,,,
Aurora,Aurora,GPE,0.16516517,0.87087087,en,3.70000000,,0,,,,,,
Pacific beach,Pacific beach,LOC,0.07601351,0.39189189,en,3.70000000,,4169014,P,26.23786,-80.12477,NORTH-AMERICA,United States,ENA
Ukraine,Ukraine,GPE,0.17117117,1.12912913,en,3.70000000,,0,,,,,,
the Caroline Islands,the Caroline Islands,LOC,-0.03603604,0.36036036,en,3.70000000,,0,,,,,,
AUSTRALIA,AUSTRALIA,GPE,-0.08108108,0.52702703,en,3.70000000,,0,,,,,,
Hong Kong’s,Hong Kong’s,GPE,0.06481481,0.30061728,en,3.60000000,,0,,,,,,
Sumatra,Sumatra,GPE,0.13095238,0.38227513,en,3.60000000,,0,,,,,,
Baja,Baja,GPE,-0.00714286,0.12142857,en,3.50000000,,0,,,,,,
Milton,Milton,GPE,0.01258503,0.42517007,en,3.50000000,,0,,,,,,
the North Atlantic,the North Atlantic,LOC,0.01773632,0.43207815,en,3.50000000,,0,,,,,,
Manila,Manila,GPE,-0.04285714,0.27976190,en,3.50000000,,0,,,,,,
Hispaniola,Hispaniola,GPE,-0.46170343,1.41421569,en,3.40000000,,0,,,,,,
Typhoon Ragasa,Typhoon Ragasa,GPE,-0.08802309,0.33694084,en,3.30000000,,0,,,,,,
USA,USA,GPE,0.18434343,0.55411255,en,3.30000000,,0,,,,,,
TAIPEI,TAIPEI,GPE,0.22240260,0.53950216,en,3.30000000,,0,,,,,,
