,phrase,label,sentiment,subjectivity,language,count
Bettina Elesabeth Anderson,Bettina Elesabeth Anderson,PERSON,-0.05994152046783627,0.06432748538011697,en,1.9
Storm Isha,Storm Isha,PERSON,-0.09868421052631579,0.2960526315789474,en,1.9
Tropical Storm Cindy,Tropical Storm Cindy,PERSON,-0.07894736842105264,0.5438596491228069,en,1.9
Liu et al,Liu et al,PERSON,0.04465709728867624,0.5805422647527911,en,1.9
Jody-Anne Cargill,Jody-Anne Cargill,PERSON,0.13157894736842105,0.17543859649122806,en,1.9
Manuel Valls,Manuel Valls,PERSON,-0.034722222222222224,0.25231481481481477,en,1.8
Jon-Eric Sullivan,Jon-Eric Sullivan,PERSON,0.11764705882352942,0.6176470588235294,en,1.7
Mike Dillon,Mike Dillon,PERSON,0.10854341736694678,0.3851540616246498,en,1.7
Kevin Rowland,Kevin Rowland,PERSON,0.19607843137254902,0.6313725490196078,en,1.7
"Rubin ""Hurricane","Rubin ""Hurricane",PERSON,0.5882352941176471,0.5882352941176471,en,1.7
Henry Cole,Henry Cole,PERSON,-0.049019607843137275,0.7352941176470589,en,1.7
Ezekiel Ayangbile,Ezekiel Ayangbile,PERSON,-0.10294117647058824,0.18627450980392157,en,1.7
Rubin “Hurricane,Rubin “Hurricane,PERSON,0.16042780748663102,0.5347593582887701,en,1.7
Austin Peay,Austin Peay,PERSON,0.35294117647058826,0.5882352941176471,en,1.7
Anne Neuberger,Anne Neuberger,PERSON,0.7058823529411765,1.1764705882352942,en,1.7
the Dmitry Donskoy,the Dmitry Donskoy,PERSON,-0.05228758169934641,0.26143790849673204,en,1.7
Hurricane Milton’s,Hurricane Milton’s,PERSON,0.0,0.0,en,1.7
Rick Bass,Rick Bass,PERSON,0.338235294117647,0.8403361344537815,en,1.7
Sara Weldon,Sara Weldon,PERSON,0.338235294117647,0.8403361344537815,en,1.7
Mariko Katsumura,Mariko Katsumura,PERSON,-0.039215686274509796,0.823529411764706,en,1.7
Yimou Lee,Yimou Lee,PERSON,-0.039215686274509796,0.823529411764706,en,1.7
Neil Young,Neil Young,PERSON,0.18467023172905528,0.5869281045751634,en,1.7
Miguel Diaz-Canel,Miguel Diaz-Canel,PERSON,-0.20588235294117646,0.4117647058823529,en,1.7
Kon Knueppel,Kon Knueppel,PERSON,0.16176470588235295,0.5147058823529412,en,1.7
Wilton Simpson,Wilton Simpson,PERSON,-0.049019607843137254,0.14705882352941177,en,1.7
Vero Strength + Conditioning,Vero Strength + Conditioning,PERSON,0.2745098039215686,0.35294117647058826,en,1.7
Florida Keys,Florida Keys,PERSON,0.0,0.23529411764705885,en,1.7
Bren Joy)04 - Heaven05,Bren Joy)04 - Heaven05,PERSON,0.0,0.0,en,1.7
Trigun Stargaze,Trigun Stargaze,PERSON,0.24509803921568626,0.4411764705882353,en,1.7
Salt Typhoon,Salt Typhoon,PERSON,0.273109243697479,0.6491596638655461,en,1.7
Trigun Stampede,Trigun Stampede,PERSON,0.24509803921568626,0.4411764705882353,en,1.7
Mary Kay Carson,Mary Kay Carson,PERSON,0.05882352941176471,0.23529411764705885,en,1.7
Hillari)03 - Tailspin,Hillari)03 - Tailspin,PERSON,0.0,0.0,en,1.7
Merlin HM2 ASaC,Merlin HM2 ASaC,PERSON,0.29411764705882354,0.29411764705882354,en,1.7
Molly Roberts,Molly Roberts,PERSON,0.03604108309990662,0.4636788048552755,en,1.7
Natalie Orpett,Natalie Orpett,PERSON,0.03604108309990662,0.4636788048552755,en,1.7
Benjamin Wittes,Benjamin Wittes,PERSON,0.03604108309990662,0.4636788048552755,en,1.7
Jack Osbourne,Jack Osbourne,PERSON,0.19607843137254902,0.4901960784313726,en,1.7
Rueben Bain,Rueben Bain,PERSON,0.6470588235294118,0.8823529411764706,en,1.7
Mikko Rantanen,Mikko Rantanen,PERSON,-0.02941176470588236,0.14379084967320263,en,1.7
Andrei Svechnikov,Andrei Svechnikov,PERSON,0.18907563025210086,0.22584033613445376,en,1.7
RAF Typhoon,RAF Typhoon,PERSON,0.05882352941176471,0.05882352941176471,en,1.7
Julian Sayin,Julian Sayin,PERSON,0.3044117647058824,0.42352941176470593,en,1.7
Tom Brady,Tom Brady,PERSON,0.08021390374331551,0.29411764705882354,en,1.7
Carter Davis,Carter Davis,PERSON,0.0,0.0784313725490196,en,1.7
Zane Nelson,Zane Nelson,PERSON,0.35294117647058826,0.5882352941176471,en,1.7
Warren Haynes,Warren Haynes,PERSON,0.19607843137254902,0.303921568627451,en,1.7
Brandon Bussi,Brandon Bussi,PERSON,0.5970588235294119,0.7220588235294118,en,1.7
Cyclone Senyar,Cyclone Senyar,PERSON,0.22058823529411764,0.29901960784313725,en,1.7
Hat Yai,Hat Yai,PERSON,0.0,0.2156862745098039,en,1.7
BETMGM SPORTSBOOK,BETMGM SPORTSBOOK,PERSON,0.35294117647058826,0.5882352941176471,en,1.7
Karen Evans,Karen Evans,PERSON,0.16042780748663102,0.5347593582887701,en,1.7
Humunga Kowabunga,Humunga Kowabunga,PERSON,-0.16775599128540303,0.2821350762527233,en,1.7
Elija Lofton,Elija Lofton,PERSON,-0.373249299719888,0.4432773109243697,en,1.7
Max Hoffman,Max Hoffman,PERSON,-0.10516934046345812,0.4500891265597148,en,1.7
Denis Volkov,Denis Volkov,PERSON,0.33403361344537813,0.6932773109243698,en,1.7
Gil Downgraded,Gil Downgraded,PERSON,-0.05882352941176471,0.6470588235294118,en,1.7
Eric Adams,Eric Adams,PERSON,0.08021390374331551,0.26737967914438504,en,1.7
Tropical Cyclone Fina,Tropical Cyclone Fina,PERSON,0.16711229946524062,0.21390374331550804,en,1.7
Britta Merwin,Britta Merwin,PERSON,0.3018419489007724,0.5965537730243613,en,1.7
Darian Mensah,Darian Mensah,PERSON,0.05882352941176471,0.17647058823529413,en,1.7
Christian Alshon,Christian Alshon,PERSON,0.11617647058823533,0.3161764705882353,en,1.7
Zijin Gold,Zijin Gold,PERSON,0.39215686274509803,0.7843137254901961,en,1.7
Malachi Toney,Malachi Toney,PERSON,0.11764705882352942,0.23529411764705885,en,1.7
Typhoon Bualoi,Typhoon Bualoi,PERSON,-0.09411764705882351,0.18235294117647055,en,1.7
Tropical Storm Jerry,Tropical Storm Jerry,PERSON,-0.05882352941176471,0.1323529411764706,en,1.7
Pete Nakos,Pete Nakos,PERSON,0.0,0.0,en,1.7
Damon Wilson II,Damon Wilson II,PERSON,0.0,0.0,en,1.7
Crystal McDowell,Crystal McDowell,PERSON,0.0,0.29411764705882354,en,1.7
Abella Danger,Abella Danger,PERSON,-0.30147058823529416,0.43137254901960786,en,1.7
Dwayne Johnson,Dwayne Johnson,PERSON,0.465686274509804,0.9558823529411765,en,1.7
Typhoon Mawar,Typhoon Mawar,PERSON,0.5392156862745098,0.9901960784313726,en,1.7
Kim Jong Un,Kim Jong Un,PERSON,0.130718954248366,0.6405228758169934,en,1.7
Andra Garner,Andra Garner,PERSON,0.060784313725490195,0.3287581699346405,en,1.7
Cindy Wang,Cindy Wang,PERSON,-0.3529411764705883,0.47058823529411764,en,1.7
Ryan Snoddon,Ryan Snoddon,PERSON,0.1503267973856209,0.7222222222222223,en,1.7
Michael Webber,Michael Webber,PERSON,-0.14705882352941177,1.1764705882352942,en,1.7
Cecily Bauchmann,Cecily Bauchmann,PERSON,0.0,0.0,en,1.7
Nick Gaido,Nick Gaido,PERSON,0.11764705882352942,0.4705882352941177,en,1.7
Kathie Dello,Kathie Dello,PERSON,-0.37990196078431376,0.5514705882352942,en,1.7
Russ Schumacher,Russ Schumacher,PERSON,-0.37990196078431376,0.5514705882352942,en,1.7
Brooke Hiers,Brooke Hiers,PERSON,0.0,0.0,en,1.7
Mary Hui,Mary Hui,PERSON,-0.3529411764705883,0.47058823529411764,en,1.7
Maura Healey,Maura Healey,PERSON,0.0,0.0,en,1.7
Donald Hagan,Donald Hagan,PERSON,0.0,0.0784313725490196,en,1.7
Hurricane Nigel,Hurricane Nigel,PERSON,-0.023529411764705882,0.9647058823529413,en,1.7
Tropical Strom Joyce,Tropical Strom Joyce,PERSON,-0.05882352941176471,0.5294117647058824,en,1.7
Christopher Cusack,Christopher Cusack,PERSON,0.12745098039215688,0.4705882352941177,en,1.7
Hillary Clinton,Hillary Clinton,PERSON,0.0,0.0,en,1.7
Michele Currie Navakas,Michele Currie Navakas,PERSON,0.25,0.4558823529411765,en,1.7
Stephanie Abrams,Stephanie Abrams,PERSON,0.5882352941176471,1.0588235294117647,en,1.7
Dan Stillman,Dan Stillman,PERSON,0.0,0.0,en,1.7
Cooper Van Vranken,Cooper Van Vranken,PERSON,0.12745098039215688,0.4705882352941177,en,1.7
Hurricane Lee,Hurricane Lee,PERSON,-0.011764705882352936,0.5225490196078432,en,1.7
David Parkinson,David Parkinson,PERSON,0.5882352941176471,1.0588235294117647,en,1.7
Rudy Giuliani,Rudy Giuliani,PERSON,0.0,0.0,en,1.7
Katy Daigle,Katy Daigle,PERSON,-0.1397058823529412,0.4117647058823529,en,1.7
Nadine Storm,Nadine Storm,PERSON,0.0,1.1764705882352942,en,1.7
Josh Rannenberg,Josh Rannenberg,PERSON,0.0,0.29411764705882354,en,1.7
Fung Wong,Fung Wong,PERSON,-0.25,0.37499999999999994,en,1.6
Zohran Mamdani,Zohran Mamdani,PERSON,0.19602272727272724,0.5284090909090908,en,1.6
Rocco Commisso,Rocco Commisso,PERSON,-0.4270833333333333,0.5416666666666666,en,1.6
Jeff Burton,Jeff Burton,PERSON,0.9062500000000001,1.2031249999999998,en,1.6
Mother Nature,Mother Nature,PERSON,0.43749999999999994,1.015625,en,1.6
Donald Trump’s,Donald Trump’s,PERSON,0.03826530612244899,0.25510204081632654,en,1.4
Albert Einstein,Albert Einstein,PERSON,0.2963265306122449,0.891513605442177,en,1.4
Gayle King,Gayle King,PERSON,0.02622377622377622,0.45760489510489516,en,1.3
